Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170809;5;15500;15181,213
20170809;6;15900;14989,825
20170809;7;18600;17033,763
20170809;8;20400;19060,113
20170809;9;21600;20398,800
20170809;10;21800;21114,125
20170809;11;22250;21325,225
20170809;12;22350;21844,513
20170809;13;22550;22065,350
20170809;14;22600;22101,088
20170809;15;22100;21779,575
20170809;16;21550;21690,313
20170809;17;21150;21289,525
20170809;18;20850;20914,750
20170809;19;20550;20673,563
20170809;20;20650;20723,475
20170809;21;21500;21169,850
20170809;22;21000;21016,175
20170809;23;19200;19234,750
20170809;24;17800;17707,600
20170810;1;16400;16484,288
20170810;2;15900;15770,313
20170810;3;15600;15425,825
20170810;4;15600;15439,400
20170810;5;15600;15444,188
20170810;6;15800;15349,638
20170810;7;18500;17240,313
20170810;8;20300;19282,713
20170810;9;21400;20489,938
20170810;10;21900;21180,963
20170810;11;22500;21597,500
20170810;12;22700;22196,825
20170810;13;22800;22470,625
20170810;14;22700;22501,875
20170810;15;22300;22102,425
20170810;16;21900;21925,288
20170810;17;21400;21486,363
20170810;18;21100;21149,738
20170810;19;20800;20869,825
20170810;20;20800;20841,475
20170810;21;21700;21372,900
20170810;22;21100;20938,675
20170810;23;19500;19376,388
20170810;24;18000;17766,075
20170811;1;16800;16518,025
20170811;2;16200;15936,025
20170811;3;15800;15524,550
20170811;4;15800;15463,263
20170811;5;15700;15542,388
20170811;6;16100;15609,000
20170811;7;18700;17453,125
20170811;8;20400;19564,050
20170811;9;21400;21066,500
20170811;10;21800;21871,088
20170811;11;22200;22181,438
20170811;12;22500;22689,363
20170811;13;22700;22786,275
20170811;14;22700;22784,238
20170811;15;22100;22386,988
20170811;16;21600;22150,838
20170811;17;21200;21668,500
20170811;18;21000;21281,238
20170811;19;20600;20921,738
20170811;20;20650;20878,475
20170811;21;21100;21063,288
20170811;22;20800;20274,438
20170811;23;19200;18553,263
20170811;24;17800;17207,250
20170812;1;16400;16057,363
20170812;2;15600;15400,225
20170812;3;15100;15039,200
20170812;4;15000;14909,350
20170812;5;14700;14866,975
20170812;6;14300;14459,025
20170812;7;15900;15229,775
20170812;8;17350;16522,363
20170812;9;18450;17727,463
20170812;10;19050;18612,913
20170812;11;19250;18986,988
20170812;12;19350;19082,875
20170812;13;19250;19002,500
20170812;14;18950;18643,238
20170812;15;18350;18021,775
20170812;16;17950;17673,300
20170812;17;17650;17331,763
20170812;18;17500;17178,875
20170812;19;17450;17031,763
20170812;20;17800;17115,250
20170812;21;18750;17721,075
20170812;22;18250;17455,338
20170812;23;17100;16344,138
20170812;24;15800;15011,325
20170813;1;14400;14093,975
20170813;2;13800;13488,200
20170813;3;13400;13178,725
20170813;4;13200;13050,763
20170813;5;13000;12929,163
20170813;6;12400;12389,338
20170813;7;13300;12742,275
20170813;8;14300;13510,075
20170813;9;15300;14382,425
20170813;10;16300;15409,075
20170813;11;16600;15966,525
20170813;12;16600;16198,163
20170813;13;16700;16282,475
20170813;14;16650;16210,450
20170813;15;16300;15896,000
20170813;16;16100;15588,525
20170813;17;15800;15445,450
20170813;18;15900;15413,500
20170813;19;16050;15606,625
20170813;20;16450;15861,300
20170813;21;17500;16443,738
20170813;22;17300;16561,913
20170813;23;16400;15813,688
20170813;24;15200;14772,675
20170814;1;13900;13714,425
20170814;2;13400;13315,338
20170814;3;13100;13113,925
20170814;4;13100;13037,813
20170814;5;13200;13168,000
20170814;6;13500;13157,413
20170814;7;16000;14897,338
20170814;8;17700;16678,113
20170814;9;18600;17848,325
20170814;10;19100;18652,700
20170814;11;19500;18862,700
20170814;12;19700;19175,788
20170814;13;19700;19253,200
