Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170501;1;14400;14229,125
20170501;2;14000;13659,563
20170501;3;13700;13373,563
20170501;4;13500;13210,838
20170501;5;13300;13219,863
20170501;6;12500;12677,175
20170501;7;13150;13083,625
20170501;8;14150;14030,388
20170501;9;15100;14977,950
20170501;10;15700;15751,100
20170501;11;15900;16015,138
20170501;12;15950;16069,775
20170501;13;15900;15885,200
20170501;14;15800;15830,500
20170501;15;15400;15541,288
20170501;16;14800;15050,313
20170501;17;14700;14891,375
20170501;18;14650;14907,325
20170501;19;14850;15168,500
20170501;20;15450;15628,700
20170501;21;16550;16618,550
20170501;22;16350;16777,463
20170501;23;15450;15901,075
20170501;24;14200;14821,538
20170502;1;13793;13833,550
20170502;2;13366;13429,300
20170502;3;13129;13282,663
20170502;4;13184;13266,475
20170502;5;13118;13255,488
20170502;6;13169;13247,775
20170502;7;14743;14782,900
20170502;8;16788;16092,238
20170502;9;17692;17140,113
20170502;10;18385;17737,000
20170502;11;18358;17825,938
20170502;12;18490;18077,413
20170502;13;18485;18168,413
20170502;14;18540;18261,313
20170502;15;18262;17979,125
20170502;16;17968;17682,388
20170502;17;17655;17564,113
20170502;18;17510;17386,663
20170502;19;17332;17459,325
20170502;20;17685;17566,950
20170502;21;18410;18304,813
20170502;22;18125;17958,913
20170502;23;16794;16815,375
20170502;24;15641;15566,388
20170503;1;14445;14521,050
20170503;2;13730;13978,300
20170503;3;13400;13740,463
20170503;4;13292;13499,150
20170503;5;13072;13481,475
20170503;6;12478;12913,888
20170503;7;12785;13106,513
20170503;8;13667;13856,900
20170503;9;14670;14823,325
20170503;10;15495;15652,038
20170503;11;15918;16169,563
20170503;12;16236;16361,938
20170503;13;16300;16454,275
20170503;14;16300;16336,363
20170503;15;15721;15975,288
20170503;16;15242;15583,363
20170503;17;15035;15397,838
20170503;18;15102;15435,263
20170503;19;15395;15686,000
20170503;20;15912;16339,150
20170503;21;17293;17059,475
20170503;22;17380;16854,763
20170503;23;15991;16119,038
20170503;24;14925;15005,825
20170504;1;14008;14104,513
20170504;2;13599;13717,113
20170504;3;13392;13522,450
20170504;4;13383;13585,675
20170504;5;13549;13751,538
20170504;6;14056;14157,875
20170504;7;16828;16798,175
20170504;8;19515;19127,463
20170504;9;21129;20627,700
20170504;10;21864;21049,813
20170504;11;21969;21177,025
20170504;12;22249;21526,713
20170504;13;22258;21607,375
20170504;14;22179;21557,213
20170504;15;21854;21118,963
20170504;16;21654;20931,200
20170504;17;21291;20604,763
20170504;18;21008;20349,400
20170504;19;20899;20212,325
20170504;20;21199;20508,163
20170504;21;21952;21001,825
20170504;22;21160;20306,463
20170504;23;19351;18761,363
20170504;24;18008;17366,800
20170505;1;16080;16302,388
20170505;2;15604;15772,438
20170505;3;15486;15395,475
20170505;4;15502;15381,363
20170505;5;15627;15477,725
20170505;6;15845;15414,088
20170505;7;17856;17696,525
20170505;8;19922;19700,313
20170505;9;21039;20737,463
20170505;10;21339;21189,613
20170505;11;21495;21215,750
20170505;12;21697;21447,550
20170505;13;21712;21518,800
20170505;14;21627;21425,800
20170505;15;21299;21031,375
20170505;16;21002;20730,075
20170505;17;20643;20264,000
20170505;18;20342;19942,638
20170505;19;20260;19740,200
20170505;20;20648;20045,038
20170505;21;21443;20770,925
20170505;22;20734;20197,988
20170505;23;19009;18680,363
20170505;24;17704;17528,150
20170506;1;16500;16372,288
20170506;2;15900;15722,538
20170506;3;15600;15316,700
20170506;4;15400;15211,313
20170506;5;15400;15103,313
20170506;6;14800;14725,188
20170506;7;16500;15843,088
20170506;8;18000;17341,038
20170506;9;19100;18590,600
20170506;10;19300;19466,863
20170506;11;19600;19756,375
20170506;12;19600;19967,638
20170506;13;19400;19688,663
20170506;14;19300;19341,138
20170506;15;18600;18665,413
20170506;16;18100;18103,225
20170506;17;17800;17734,013
20170506;18;17600;17575,063
20170506;19;17500;17547,100
20170506;20;17800;17933,688
20170506;21;18900;18534,025
20170506;22;18400;18404,888
20170506;23;17000;17124,850
20170506;24;15700;15895,475
20170507;1;14500;14817,425
20170507;2;13900;14104,000
20170507;3;13600;13741,150
20170507;4;13400;13606,125
20170507;5;13250;13314,325
20170507;6;12650;12806,100
20170507;7;13600;13262,175
20170507;8;14800;14065,513
20170507;9;15750;15077,300
20170507;10;16400;16051,250
20170507;11;16700;16594,013
20170507;12;16800;16764,788
20170507;13;16700;16882,775
20170507;14;16650;16825,963
20170507;15;16250;16466,675
20170507;16;15850;16094,888
20170507;17;15650;15847,338
20170507;18;15650;16022,925
20170507;19;16100;16311,650
20170507;20;16600;16885,863
20170507;21;17650;17482,688
20170507;22;17350;17442,863
20170507;23;16300;16440,188
20170507;24;15100;15379,600
20170508;1;14300;14435,613
20170508;2;13800;13970,463
20170508;3;13600;13799,013
20170508;4;13750;13771,163
20170508;5;13850;13834,513
20170508;6;15250;14315,763
20170508;7;18450;17385,488
20170508;8;20250;19896,800
20170508;9;21250;21074,413
20170508;10;21450;21513,263
20170508;11;21600;21528,588
20170508;12;21600;21822,038
20170508;13;21750;21737,938
20170508;14;21650;21707,900
20170508;15;21350;21264,513
20170508;16;21000;21022,075
