Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170901;1;16800;16803,775
20170901;2;16200;16288,538
20170901;3;15700;15930,550
20170901;4;15800;15855,125
20170901;5;16000;16019,288
20170901;6;16400;16287,888
20170901;7;19100;18093,038
20170901;8;20800;20064,613
20170901;9;21600;21205,763
20170901;10;21900;21701,175
20170901;11;22200;21933,775
20170901;12;22500;22333,050
20170901;13;22700;22369,175
20170901;14;22700;22346,463
20170901;15;22400;21902,163
20170901;16;22100;21677,088
20170901;17;21600;21286,213
20170901;18;21200;21033,975
20170901;19;21000;20898,688
20170901;20;21900;21603,263
20170901;21;22400;21878,038
20170901;22;21100;20232,475
20170901;23;19400;18683,363
20170901;24;17900;17353,050
20170902;1;16800;16247,250
20170902;2;16000;15627,075
20170902;3;15700;15290,625
20170902;4;15600;15130,913
20170902;5;15600;15207,800
20170902;6;15400;14897,813
20170902;7;16700;15523,775
20170902;8;18000;16743,650
20170902;9;19300;18070,988
20170902;10;19800;18921,688
20170902;11;20200;19419,638
20170902;12;20200;19519,075
20170902;13;20100;19288,888
20170902;14;19900;18962,013
20170902;15;19100;18377,538
20170902;16;18700;18105,013
20170902;17;18300;17832,513
20170902;18;18000;17681,600
20170902;19;17900;17803,500
20170902;20;19700;18338,763
20170902;21;19500;18934,363
20170902;22;18300;17904,950
20170902;23;17100;16696,225
20170902;24;15900;15463,700
20170903;1;14900;14537,738
20170903;2;14200;13820,938
20170903;3;13900;13471,738
20170903;4;13800;13216,488
20170903;5;13600;13252,375
20170903;6;13400;13038,725
20170903;7;14000;13016,063
20170903;8;15000;13863,950
20170903;9;16200;14895,263
20170903;10;17000;16002,875
20170903;11;17200;16628,925
20170903;12;17300;16987,625
20170903;13;17200;16919,763
20170903;14;17100;16971,713
20170903;15;16800;16596,438
20170903;16;16500;16374,738
20170903;17;16300;16132,700
20170903;18;16500;16262,863
20170903;19;17000;16658,650
20170903;20;18600;17738,025
20170903;21;18400;18360,213
20170903;22;17300;17290,450
20170903;23;16500;16266,625
20170903;24;15400;15159,325
20170904;1;14600;14282,638
20170904;2;14100;13904,850
20170904;3;14100;13731,575
20170904;4;14300;13727,988
20170904;5;14700;13892,963
20170904;6;15900;14588,988
20170904;7;18800;17066,913
20170904;8;20400;19517,738
20170904;9;21200;20594,975
20170904;10;21300;20883,563
20170904;11;21700;20772,788
20170904;12;22000;21161,663
20170904;13;22100;21412,350
20170904;14;22100;21341,700
20170904;15;21600;20928,213
20170904;16;21400;20799,138
20170904;17;21100;20521,013
20170904;18;20900;20412,563
20170904;19;21100;20457,075
20170904;20;22700;21451,738
20170904;21;22650;21977,738
20170904;22;21200;20293,875
20170904;23;19500;18599,950
20170904;24;18000;17258,188
20170905;1;16400;16131,663
20170905;2;15700;15614,488
20170905;3;15400;15266,163
20170905;4;15400;15263,850
20170905;5;15800;15548,838
20170905;6;16500;16001,100
20170905;7;19500;18152,838
20170905;8;20800;20065,938
20170905;9;21500;21083,050
20170905;10;21600;21524,450
20170905;11;21800;21543,363
20170905;12;22000;21810,350
20170905;13;22100;21853,863
20170905;14;22200;21964,313
20170905;15;21800;21547,638
20170905;16;21500;21456,525
20170905;17;21200;21073,613
20170905;18;20900;20949,775
20170905;19;20900;20820,400
20170905;20;22900;21878,838
20170905;21;22700;22346,250
20170905;22;21000;20679,825
20170905;23;19200;18932,988
20170905;24;17600;17513,800
20170906;1;16600;16374,325
20170906;2;16100;15862,163
20170906;3;15700;15526,838
20170906;4;15700;15520,700
20170906;5;16100;15789,738
20170906;6;16500;16151,725
20170906;7;19400;18353,363
