Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20171001;1;14900;14981,425
20171001;2;14200;14470,188
20171001;3;13800;14158,575
20171001;4;13750;13944,613
20171001;5;13800;13906,750
20171001;6;13850;14054,263
20171001;7;14000;14150,300
20171001;8;15100;14612,375
20171001;9;16200;15640,638
20171001;10;16900;16576,350
20171001;11;17200;16955,525
20171001;12;17300;17072,500
20171001;13;17300;17080,788
20171001;14;17300;16977,500
20171001;15;16900;16632,588
20171001;16;16500;16285,450
20171001;17;16400;16219,713
20171001;18;16900;16394,075
20171001;19;18800;17597,775
20171001;20;19100;19061,925
20171001;21;18400;18675,825
20171001;22;17500;17599,750
20171001;23;16400;16567,863
20171001;24;15200;15622,088
20171002;1;14400;14695,200
20171002;2;14000;14391,788
20171002;3;13950;14241,375
20171002;4;14150;14288,838
20171002;5;14700;14555,763
20171002;6;16600;15586,913
20171002;7;19700;18469,975
20171002;8;21200;20432,988
20171002;9;22150;21661,825
20171002;10;22250;21813,600
20171002;11;22350;21505,188
20171002;12;22500;21582,813
20171002;13;22600;21552,725
20171002;14;22600;21491,150
20171002;15;22200;21331,438
20171002;16;21800;21004,725
20171002;17;21550;20813,188
20171002;18;21550;20840,663
20171002;19;23450;21914,388
20171002;20;23800;23051,088
20171002;21;23000;22356,375
20171002;22;21300;20756,875
20171002;23;19650;19009,913
20171002;24;18100;17623,200
20171003;1;16800;16672,425
20171003;2;16200;16202,775
20171003;3;15800;15837,913
20171003;4;16000;15925,400
20171003;5;16400;16171,088
20171003;6;17600;16801,875
20171003;7;20400;19253,350
20171003;8;21700;21105,700
20171003;9;22400;22025,400
20171003;10;22550;22347,163
20171003;11;22550;22413,800
20171003;12;22750;22648,238
20171003;13;22900;22791,413
20171003;14;22900;22752,600
20171003;15;22550;22312,700
20171003;16;22200;22169,775
20171003;17;21950;21878,750
20171003;18;22050;21899,488
20171003;19;23650;22507,650
20171003;20;23850;23395,175
20171003;21;23100;22659,463
20171003;22;21300;21073,838
20171003;23;19800;19368,488
20171003;24;18200;17987,538
20171004;1;17000;16915,163
20171004;2;16400;16378,263
20171004;3;16000;16061,988
20171004;4;16200;16072,713
20171004;5;16600;16306,575
20171004;6;17800;17055,100
20171004;7;20400;19376,788
20171004;8;21750;21064,113
20171004;9;22400;21961,588
20171004;10;22500;22242,213
20171004;11;22600;22019,063
20171004;12;22700;22218,263
20171004;13;22800;22249,538
20171004;14;22800;22119,538
20171004;15;22500;21783,963
20171004;16;22100;21682,875
20171004;17;21900;21470,625
20171004;18;22000;21417,000
20171004;19;23700;22346,663
20171004;20;23800;23210,625
20171004;21;22900;22398,638
20171004;22;21200;20819,050
20171004;23;19700;19128,888
20171004;24;18100;17939,938
20171005;1;17000;16855,050
20171005;2;16400;16343,263
20171005;3;16000;16193,350
20171005;4;16200;16271,313
20171005;5;16600;16530,550
20171005;6;17800;17139,700
20171005;7;20300;19545,788
20171005;8;21650;21255,688
20171005;9;22400;22233,413
20171005;10;22500;22432,663
20171005;11;22600;22348,463
20171005;12;22700;22745,825
20171005;13;22800;22886,950
20171005;14;22800;22854,725
20171005;15;22400;22568,000
20171005;16;22000;22541,838
20171005;17;21800;22254,413
20171005;18;22000;22161,788
20171005;19;23600;22281,763
20171005;20;23800;22366,225
20171005;21;23100;21198,863
20171005;22;21400;19477,638
20171005;23;19900;17794,825
20171005;24;18300;16545,913
20171006;1;17200;15714,925
20171006;2;16600;15401,300
20171006;3;16400;15255,188
20171006;4;16500;15450,475
20171006;5;17000;15773,838
20171006;6;18200;16512,538
