Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20171101;1;15500;16125,425
20171101;2;14700;15380,963
20171101;3;14300;14951,850
20171101;4;14200;14856,500
20171101;5;14100;14792,488
20171101;6;14100;14664,375
20171101;7;14200;14501,988
20171101;8;15000;14900,950
20171101;9;15600;15720,688
20171101;10;15800;16082,688
20171101;11;15800;15990,563
20171101;12;15600;15860,100
20171101;13;15700;15990,525
20171101;14;15700;16110,050
20171101;15;15500;15893,200
20171101;16;15900;15758,200
20171101;17;17300;16737,800
20171101;18;17700;17449,575
20171101;19;17800;17662,088
20171101;20;17800;17738,425
20171101;21;17500;17368,000
20171101;22;16600;16710,538
20171101;23;15900;15914,088
20171101;24;14800;15038,075
20171102;1;14300;14151,338
20171102;2;14000;13792,788
20171102;3;13800;13748,688
20171102;4;14000;13783,650
20171102;5;14600;14070,625
20171102;6;16400;15238,375
20171102;7;19500;18151,000
20171102;8;21400;20329,225
20171102;9;22200;21736,175
20171102;10;22400;22260,788
20171102;11;22500;22340,788
20171102;12;22600;22703,463
20171102;13;22700;22930,075
20171102;14;22800;23083,163
20171102;15;22300;22762,563
20171102;16;22400;22720,350
20171102;17;23900;23330,300
20171102;18;24000;23639,888
20171102;19;23700;23273,688
20171102;20;23600;23144,325
20171102;21;22900;22411,438
20171102;22;21300;20977,438
20171102;23;19600;19333,650
20171102;24;18200;17997,238
20171103;1;17400;17128,963
20171103;2;16900;16727,375
20171103;3;16800;16414,963
20171103;4;16800;16396,513
20171103;5;17300;16630,700
20171103;6;18500;17399,363
20171103;7;21100;19550,863
20171103;8;22300;21403,100
20171103;9;22900;22533,163
20171103;10;23000;22881,888
20171103;11;22900;22843,113
20171103;12;23000;23139,500
20171103;13;23000;23220,263
20171103;14;23100;23218,638
20171103;15;22800;22946,925
20171103;16;22600;22757,088
20171103;17;24400;23402,863
20171103;18;24400;23831,025
20171103;19;24100;23505,488
20171103;20;23900;23315,600
20171103;21;23000;22579,563
20171103;22;21500;21098,625
20171103;23;19700;19662,825
20171103;24;18400;18504,638
20171104;1;17200;17414,175
20171104;2;16500;16672,338
20171104;3;16100;16415,563
20171104;4;16100;16279,050
20171104;5;16200;16341,413
20171104;6;16800;16550,850
20171104;7;18000;17400,800
20171104;8;19100;18478,325
20171104;9;20200;19857,700
20171104;10;20700;20633,775
20171104;11;21000;20734,725
20171104;12;21000;20767,913
20171104;13;20900;20467,825
20171104;14;20700;20047,738
20171104;15;20100;19488,925
20171104;16;20300;19309,525
20171104;17;21600;20580,388
20171104;18;21600;21292,625
20171104;19;21200;21092,788
20171104;20;21000;20791,613
20171104;21;20100;20053,838
20171104;22;18900;18915,600
20171104;23;17800;17752,600
20171104;24;16600;16663,388
20171105;1;15400;15705,350
20171105;2;14900;15127,138
20171105;3;14600;14796,688
20171105;4;14400;14681,613
20171105;5;14500;14684,450
20171105;6;14700;14832,750
20171105;7;14900;14990,425
20171105;8;15700;15408,300
20171105;9;16700;16290,625
20171105;10;17700;17130,275
20171105;11;18000;17537,488
20171105;12;18200;17693,863
20171105;13;18200;17740,725
20171105;14;18200;17674,800
20171105;15;17900;17307,088
20171105;16;18000;17224,913
20171105;17;19300;18367,113
20171105;18;19600;19521,150
20171105;19;19600;19577,625
20171105;20;19600;19716,113
20171105;21;19000;19100,988
20171105;22;18000;18103,375
20171105;23;17300;17216,138
20171105;24;16200;16202,663
20171106;1;15600;15373,938
20171106;2;15300;15070,475
20171106;3;15200;14956,025
20171106;4;15400;14972,275
20171106;5;16000;15268,400
20171106;6;17900;16417,450
20171106;7;20800;19298,463
