Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170401;1;16900;16107,188
20170401;2;16200;15456,988
20170401;3;15700;15158,250
20170401;4;15700;15073,775
20170401;5;15800;15035,425
20170401;6;15700;15170,013
20170401;7;16500;15656,488
20170401;8;18000;16996,175
20170401;9;19000;18348,825
20170401;10;19400;19144,150
20170401;11;19500;19152,288
20170401;12;19400;19197,613
20170401;13;19100;18842,975
20170401;14;18900;18644,025
20170401;15;18100;18043,000
20170401;16;17700;17586,638
20170401;17;17400;17183,288
20170401;18;17500;17119,350
20170401;19;17900;17229,625
20170401;20;19700;18389,075
20170401;21;19800;19221,613
20170401;22;18500;18008,338
20170401;23;17300;16677,263
20170401;24;16100;15415,100
20170402;1;14900;14423,513
20170402;2;14300;13794,488
20170402;3;14100;13524,325
20170402;4;13900;13337,863
20170402;5;13900;13369,338
20170402;6;13900;13420,113
20170402;7;14000;13366,850
20170402;8;14900;14190,013
20170402;9;15900;15241,750
20170402;10;16500;16152,250
20170402;11;16800;16561,975
20170402;12;16800;16536,713
20170402;13;16800;16496,463
20170402;14;16800;16412,350
20170402;15;16300;16078,738
20170402;16;15900;15529,688
20170402;17;15600;15407,513
20170402;18;15900;15560,975
20170402;19;16900;16041,400
20170402;20;18800;17635,350
20170402;21;18500;18394,613
20170402;22;17800;17378,600
20170402;23;16800;16253,925
20170402;24;15600;15188,088
20170403;1;14400;14424,225
20170403;2;13900;14071,588
20170403;3;13600;13916,050
20170403;4;13800;14021,938
20170403;5;14400;14288,625
20170403;6;15500;15279,163
20170403;7;18800;17755,738
20170403;8;20500;19921,150
20170403;9;21300;20965,050
20170403;10;21500;21284,200
20170403;11;21600;21157,525
20170403;12;21700;21377,138
20170403;13;21600;21441,413
20170403;14;21700;21445,050
20170403;15;21100;21131,200
20170403;16;20800;20788,350
20170403;17;20600;20523,063
20170403;18;20300;20498,050
20170403;19;20500;20613,575
20170403;20;22300;21760,638
20170403;21;22300;22237,213
20170403;22;20800;20689,750
20170403;23;19100;19134,550
20170403;24;17600;17663,325
20170404;1;16500;16642,250
20170404;2;15900;16121,475
20170404;3;15700;15744,913
20170404;4;15700;15779,675
20170404;5;16100;16142,263
20170404;6;16800;16811,325
20170404;7;19600;18891,838
20170404;8;21000;20755,275
20170404;9;21600;21577,650
20170404;10;21600;21602,288
20170404;11;21600;21358,638
20170404;12;21600;21609,300
20170404;13;21700;21709,113
20170404;14;21600;21609,888
20170404;15;21300;21132,888
20170404;16;20800;20908,638
20170404;17;20400;20693,925
20170404;18;20100;20464,013
20170404;19;20300;20428,663
20170404;20;22300;21463,488
20170404;21;22200;22257,713
20170404;22;20700;20803,075
20170404;23;18900;19077,275
