Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20171201;1;18500;18223,025
20171201;2;17800;17678,813
20171201;3;17500;17289,088
20171201;4;17700;17280,250
20171201;5;18200;17564,375
20171201;6;19500;18302,800
20171201;7;22700;20816,888
20171201;8;23700;22524,963
20171201;9;24500;23400,663
20171201;10;24600;23824,275
20171201;11;24500;23918,813
20171201;12;24700;24074,400
20171201;13;24900;24214,650
20171201;14;25000;24279,738
20171201;15;24700;23945,200
20171201;16;25400;24313,575
20171201;17;25800;25274,813
20171201;18;25600;25142,675
20171201;19;25100;24668,700
20171201;20;24900;24409,463
20171201;21;24100;23580,300
20171201;22;22600;22104,300
20171201;23;21100;20716,450
20171201;24;19700;19451,188
20171202;1;18300;18386,725
20171202;2;17600;17744,050
20171202;3;17100;17421,625
20171202;4;17000;17337,750
20171202;5;17100;17366,725
20171202;6;17600;17530,425
20171202;7;19100;18571,625
20171202;8;20200;19480,138
20171202;9;21400;20683,675
20171202;10;21900;21647,350
20171202;11;22200;22017,900
20171202;12;22200;22299,813
20171202;13;22100;22132,888
20171202;14;22100;22001,213
20171202;15;21400;21367,950
20171202;16;22100;21440,325
20171202;17;22600;22344,125
20171202;18;22500;22173,525
20171202;19;22100;21872,500
20171202;20;21600;21492,113
20171202;21;21100;20814,025
20171202;22;19900;19769,488
20171202;23;18900;18736,650
20171202;24;17700;17555,100
20171203;1;16700;16461,613
20171203;2;16100;15871,225
20171203;3;15700;15374,025
20171203;4;15500;15361,988
20171203;5;15700;15350,263
20171203;6;15900;15500,338
20171203;7;16600;16018,775
20171203;8;17000;16324,113
20171203;9;18000;17239,988
20171203;10;19000;18245,488
20171203;11;19200;18913,025
20171203;12;19400;19226,400
20171203;13;19500;19320,150
20171203;14;19700;19413,888
20171203;15;19400;19162,875
20171203;16;20300;19416,500
20171203;17;20800;20450,638
20171203;18;20800;20574,725
20171203;19;20900;20663,800
20171203;20;20900;20681,200
20171203;21;20300;20077,388
20171203;22;19300;19128,963
20171203;23;18700;18348,050
20171203;24;17400;17191,200
20171204;1;16400;16283,888
20171204;2;15900;15832,425
20171204;3;15800;15644,363
20171204;4;15900;15665,350
20171204;5;16600;16094,538
20171204;6;18400;17225,513
20171204;7;21900;20346,425
20171204;8;23300;22445,650
20171204;9;24100;23512,775
20171204;10;24200;23850,300
20171204;11;24400;23797,963
20171204;12;24500;24181,438
20171204;13;24600;24329,388
20171204;14;24800;24509,600
20171204;15;24400;24025,288
20171204;16;25000;24081,125
20171204;17;25400;24909,988
20171204;18;25400;24761,550
20171204;19;24900;24300,163
20171204;20;24800;24008,900
20171204;21;24000;23311,888
20171204;22;22500;21764,663
20171204;23;20900;20194,238
20171204;24;19500;18885,463
20171205;1;18300;17847,600
20171205;2;17700;17359,625
20171205;3;17400;16947,338
20171205;4;17500;16972,600
20171205;5;18100;17291,800
20171205;6;19500;18308,388
20171205;7;22700;21093,100
20171205;8;23700;23022,575
20171205;9;24500;23729,363
20171205;10;24600;24131,625
20171205;11;24700;24086,563
20171205;12;24800;24382,775
20171205;13;24900;24518,638
20171205;14;25000;24665,438
20171205;15;24600;24489,425
20171205;16;25200;24756,638
20171205;17;25600;25407,613
20171205;18;25400;25013,200
20171205;19;24800;24594,325
20171205;20;24600;24405,425
20171205;21;23900;23714,713
20171205;22;22400;22196,688
