Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170701;1;16800;16453,838
20170701;2;15800;15658,538
20170701;3;15400;15102,038
20170701;4;15100;14902,813
20170701;5;14300;14304,350
20170701;6;14500;14162,013
20170701;7;16200;15237,188
20170701;8;17700;16592,325
20170701;9;19000;17884,613
20170701;10;19500;18722,450
20170701;11;19800;19122,475
20170701;12;19800;19225,488
20170701;13;19800;19115,188
20170701;14;19700;18878,100
20170701;15;19000;18164,825
20170701;16;18700;17839,713
20170701;17;18300;17572,188
20170701;18;18100;17281,750
20170701;19;18000;17222,875
20170701;20;17900;17416,900
20170701;21;17800;17228,950
20170701;22;17800;17294,975
20170701;23;17400;16796,438
20170701;24;16200;15583,675
20170702;1;14800;14474,575
20170702;2;13900;13854,325
20170702;3;13600;13590,213
20170702;4;13400;13396,913
20170702;5;12500;12744,925
20170702;6;12500;12550,025
20170702;7;13300;12994,738
20170702;8;14300;13769,813
20170702;9;15500;14635,763
20170702;10;16300;15630,213
20170702;11;16800;16332,913
20170702;12;16900;16484,125
20170702;13;16900;16586,738
20170702;14;16900;16614,513
20170702;15;16500;16197,125
20170702;16;16300;15955,225
20170702;17;16100;15742,150
20170702;18;16000;15705,188
20170702;19;16200;15932,338
20170702;20;16300;16174,663
20170702;21;16400;16252,450
20170702;22;16900;16539,500
20170702;23;16900;16330,088
20170702;24;15500;15203,888
20170703;1;14500;14237,963
20170703;2;13900;13780,400
20170703;3;13700;13452,863
20170703;4;13600;13504,175
20170703;5;13200;13224,638
20170703;6;14600;13789,200
20170703;7;17700;16431,163
20170703;8;19700;18538,163
20170703;9;20700;19736,700
20170703;10;21100;20378,500
20170703;11;21400;20488,363
20170703;12;21600;20799,100
20170703;13;21700;20946,900
20170703;14;21800;20933,500
20170703;15;21300;20542,400
20170703;16;21100;20411,688
20170703;17;20700;20096,513
20170703;18;20400;19774,288
20170703;19;20200;19638,463
20170703;20;20200;19785,313
20170703;21;20100;19598,600
20170703;22;20000;19610,988
20170703;23;19300;18674,213
20170703;24;17600;17332,688
20170704;1;16600;15965,163
20170704;2;15900;15320,975
20170704;3;15600;15089,925
20170704;4;15500;14967,525
20170704;5;15000;14478,963
20170704;6;16000;14808,538
20170704;7;18800;17100,738
20170704;8;20500;19044,725
20170704;9;21400;20089,563
20170704;10;21700;20470,550
20170704;11;22100;20678,288
20170704;12;22200;21029,575
20170704;13;22300;21048,000
20170704;14;22300;21053,638
20170704;15;22000;20659,300
20170704;16;21600;20546,838
20170704;17;21300;20255,713
20170704;18;20900;19887,313
20170704;19;20700;19854,125
20170704;20;20700;20062,463
20170704;21;20500;19907,700
20170704;22;20500;19828,838
20170704;23;19300;19062,563
20170704;24;17800;17593,475
20170705;1;16200;16402,250
20170705;2;15500;15666,150
20170705;3;15100;15251,600
20170705;4;15100;15162,913
20170705;5;14700;14716,150
20170705;6;15600;15101,375
20170705;7;18500;17403,788
20170705;8;20000;19464,450
20170705;9;20800;20578,025
20170705;10;21000;21084,213
20170705;11;21400;21153,288
20170705;12;21500;21515,138
20170705;13;21600;21741,213
20170705;14;21700;21644,063
20170705;15;21300;21226,788
20170705;16;20900;21146,288
20170705;17;20600;20641,875
20170705;18;20300;20239,613
20170705;19;20100;20187,388
20170705;20;20100;20201,050
20170705;21;20100;20284,050
20170705;22;20100;19990,188
20170705;23;19100;19108,600
20170705;24;17700;17713,488
20170706;1;16200;16437,188
20170706;2;15500;15762,688
20170706;3;15100;15364,125
20170706;4;15100;15279,450
20170706;5;14700;14826,538
20170706;6;15600;15202,813
20170706;7;18500;17526,888
20170706;8;20000;19486,038
20170706;9;20600;20562,700
20170706;10;20900;21035,950
20170706;11;21200;21143,350
20170706;12;21300;21519,600
20170706;13;21400;21672,838
20170706;14;21500;21558,663
20170706;15;21100;21310,638
20170706;16;20700;21052,925
20170706;17;20400;20692,763
20170706;18;20100;20332,138
20170706;19;20100;20144,625
20170706;20;20100;20173,750
20170706;21;20100;20137,800
20170706;22;20100;20153,988
20170706;23;19100;19316,950
20170706;24;17700;17695,488
20170707;1;16500;16413,575
20170707;2;15800;15665,925
20170707;3;15600;15099,113
20170707;4;15500;15043,825
20170707;5;15100;14668,788
20170707;6;16100;14953,588
20170707;7;19000;17173,175
20170707;8;20500;19250,338
20170707;9;21200;20522,200
20170707;10;21500;21054,913
